PASSENGERS,FREIGHT,MAIL,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_FIPS,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_FIPS,YEAR,QUARTER,MONTH
0,0,0,United Air Lines Inc.,BQN,"Aguadilla, PR",PR,72,#N/A,IAH,"Houston, TX",TX,48,48201,2020,1,1
0,0,0,United Air Lines Inc.,BQN,"Aguadilla, PR",PR,72,#N/A,PBI,"West Palm Beach, FL",FL,12,12099,2020,1,3
0,0,0,United Air Lines Inc.,BQN,"Aguadilla, PR",PR,72,#N/A,TPA,"Tampa, FL",FL,12,12057,2020,1,2
7,0,0,United Air Lines Inc.,BQN,"Aguadilla, PR",PR,72,#N/A,LAS,"Las Vegas, NV",NV,32,32003,2020,1,2
9,0,0,United Air Lines Inc.,BQN,"Aguadilla, PR",PR,72,#N/A,BNA,"Nashville, TN",TN,47,47037,2020,1,1
22,0,0,United Air Lines Inc.,BQN,"Aguadilla, PR",PR,72,#N/A,LAS,"Las Vegas, NV",NV,32,32003,2020,1,3
25,0,0,United Air Lines Inc.,BQN,"Aguadilla, PR",PR,72,#N/A,SFO,"San Francisco, CA",CA,6,6075,2020,1,2
33,0,0,United Air Lines Inc.,BQN,"Aguadilla, PR",PR,72,#N/A,SFO,"San Francisco, CA",CA,6,6075,2020,1,1
3310,1300,0,United Air Lines Inc.,BQN,"Aguadilla, PR",PR,72,#N/A,EWR,"Newark, NJ",NJ,34,34013,2020,1,3
4218,2823,0,United Air Lines Inc.,BQN,"Aguadilla, PR",PR,72,#N/A,EWR,"Newark, NJ",NJ,34,34013,2020,1,2
4812,1062,0,United Air Lines Inc.,BQN,"Aguadilla, PR",PR,72,#N/A,EWR,"Newark, NJ",NJ,34,34013,2020,1,1
30,0,0,Delta Air Lines Inc.,CAK,"Akron, OH",OH,39,39153,ATL,"Atlanta, GA",GA,13,13121,2020,2,5
247,0,0,Delta Air Lines Inc.,CAK,"Akron, OH",OH,39,39153,ATL,"Atlanta, GA",GA,13,13121,2020,2,4
1721,1,0,Delta Air Lines Inc.,CAK,"Akron, OH",OH,39,39153,ATL,"Atlanta, GA",GA,13,13121,2020,1,3
