Weekly U.S. Product Supplied of Kerosene-Type Jet Fuel
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=wkjupus2&f=w
09:14:29 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Product Supplied of Kerosene-Type Jet Fuel Thousand Barrels per Day
09/11/2020,947
09/4/2020,864
08/28/2020,940
08/21/2020,1142
08/14/2020,980
08/7/2020,987
07/31/2020,1010
07/24/2020,1023
07/17/2020,1078
07/10/2020,1269
07/3/2020,924
06/26/2020,588
06/19/2020,805
06/12/2020,788
06/5/2020,713
05/29/2020,385
05/22/2020,860
05/15/2020,634
05/8/2020,352
05/1/2020,515
04/24/2020,800
04/17/2020,612
04/10/2020,463
04/3/2020,755
03/27/2020,1335
03/20/2020,1465
03/13/2020,1735
03/6/2020,1565
02/28/2020,1707
02/21/2020,1450
02/14/2020,1383
02/7/2020,1664
01/31/2020,1657
01/24/2020,1670
01/17/2020,1551
01/10/2020,1727
01/3/2020,1611
12/27/2019,1972
12/20/2019,1539
12/13/2019,2056
12/6/2019,1580
11/29/2019,1956
11/22/2019,1876
11/15/2019,1656
11/8/2019,1750
11/1/2019,1811
10/25/2019,1830
10/18/2019,2088
10/11/2019,1613
10/4/2019,1770
09/27/2019,1763
09/20/2019,1500
09/13/2019,1905
09/6/2019,1515
08/30/2019,1879
08/23/2019,1850
08/16/2019,1909
08/9/2019,2017
08/2/2019,1811
07/26/2019,1893
07/19/2019,1837
07/12/2019,1876
07/5/2019,1803
06/28/2019,1862
06/21/2019,1915
06/14/2019,1673
06/7/2019,1780
05/31/2019,1810
05/24/2019,2026
05/17/2019,1538
05/10/2019,1766
05/3/2019,1738
04/26/2019,1920
04/19/2019,1820
04/12/2019,1674
04/5/2019,1445
03/29/2019,1889
03/22/2019,1656
03/15/2019,1794
03/8/2019,1953
03/1/2019,1697
02/22/2019,1943
02/15/2019,1410
02/8/2019,1518
02/1/2019,1838
01/25/2019,1633
01/18/2019,1507
01/11/2019,1661
01/4/2019,1808
12/28/2018,1631
12/21/2018,1618
12/14/2018,1585
12/7/2018,1650
11/30/2018,1835
11/23/2018,1682
11/16/2018,1725
11/9/2018,1898
11/2/2018,1749
10/26/2018,1677
10/19/2018,1765
10/12/2018,1639
10/5/2018,1583
09/28/2018,1848
09/21/2018,1703
09/14/2018,1851
09/7/2018,1572
08/31/2018,1820
08/24/2018,2006
08/17/2018,1813
08/10/2018,1871
08/3/2018,1986
07/27/2018,1668
07/20/2018,1877
07/13/2018,1724
07/6/2018,1906
06/29/2018,1968
06/22/2018,1702
06/15/2018,1970
06/8/2018,1435
06/1/2018,1685
05/25/2018,1848
05/18/2018,1818
05/11/2018,1650
05/4/2018,1550
04/27/2018,1773
04/20/2018,1553
04/13/2018,1827
04/6/2018,1593
03/30/2018,1807
03/23/2018,1812
03/16/2018,1524
03/9/2018,1891
03/2/2018,1853
02/23/2018,1622
02/16/2018,1758
02/9/2018,1580
02/2/2018,1584
01/26/2018,1622
01/19/2018,1631
01/12/2018,1833
01/5/2018,1585
12/29/2017,1898
12/22/2017,1807
12/15/2017,2108
12/8/2017,1598
12/1/2017,1947
11/24/2017,1514
11/17/2017,1630
11/10/2017,1794
11/3/2017,1835
10/27/2017,1628
10/20/2017,1859
10/13/2017,1641
10/6/2017,1792
09/29/2017,1475
09/22/2017,1787
09/15/2017,1817
09/8/2017,1464
09/1/2017,1612
08/25/2017,2011
08/18/2017,1722
08/11/2017,1798
08/4/2017,1765
07/28/2017,1791
07/21/2017,1804
07/14/2017,1735
07/7/2017,1966
06/30/2017,1973
06/23/2017,1568
06/16/2017,2030
06/9/2017,1897
06/2/2017,1557
05/26/2017,1603
05/19/2017,1647
05/12/2017,1910
05/5/2017,1670
04/28/2017,1899
04/21/2017,1431
04/14/2017,1807
04/7/2017,1497
03/31/2017,1649
03/24/2017,1733
03/17/2017,1580
03/10/2017,1820
03/3/2017,1610
02/24/2017,1562
